particularity,name_pt,name_en,food_numbers,in_taco,query_en,verdict,foodon_class,foodon_label,taco_recipe,taco_page,note
Brazilian beef cut,Picanha,Top sirloin cap (picanha),380 381 382 383,yes,top sirloin cap,specific class available,FOODON_02000157,beef culotte steak,,,cut without preparation; no grilled form identified in this analysis
Brazilian beef cut,Cupim,Zebu hump (cupim),353 354,yes,beef hump,search not recorded,,,,,hump of zebu cattle (Bos indicus)
Brazilian beef cut,Fraldinha,Flap (fraldinha),361 362,yes,beef flap,specific class available,FOODON_02000171,beef sirloin bavette flap,,,cut without preparation; no cooked form identified in this analysis
Brazilian beef cut,Patinho,Knuckle (patinho),376 377,yes,beef knuckle,specific class available,FOODON_02000025,beef sirloin tip,,,cut without preparation; no grilled form identified in this analysis
Brazilian beef cut,Capa de contra-filé,Ribeye cap (capa de contra-filé),334 335 336 337,yes,beef ribeye cap steak (raw),specific class available,FOODON_02000218,beef ribeye cap steak (raw),,,used as skos:relatedMatch for the raw cut; no grilled form identified in this analysis
offal by Brazilian name,Dobradinha,"Dobradinha (beef tripe, boiled)",536,yes,tripe stew,generic class only,FOODON_03420192,tripe,"beef tripe boiled in water, nothing added",124,"TACO's item is tripe boiled in water, not a stew"
salted or dried product,Charque,Salted sun-dried beef (charque),338 339,yes,jerked beef,not found in documented searches,,,,,"a candidate considered is beef jerky (FOODON_03302103), a different product"
salted or dried product,Carne seca (jabá),Salted dried beef (carne seca),384 385,yes,dried salted beef,not found in documented searches,,,,,
salted or dried product,Carne de sol,"Lightly salted, air-dried beef (carne de sol)",,no,carne de sol,search not recorded,,,,,not in TACO 4th edition
salted or dried product,Bacalhau salgado,Salted cod (bacalhau),279 280,yes,salted cod,specific class available,FOODON_03307021,codfish (salted),,,279 unaligned; 280 related to generic cod
salted or dried product,Orelha e rabo de porco salgados,Salted pork ear and tail,434 437,yes,salt pork,generic class only,FOODON_00001077,salt pork meat food product,,,"437 is typed pork tail (raw), whose label does not mention salting"
species by Brazilian common name,Tucunaré,Peacock bass (tucunaré),322,yes,peacock bass,taxon only,NCBITaxon_50735,Cichla ocellaris,,,the species is assumed from the common name; TACO gives no scientific name
species by Brazilian common name,Pintado,Spotted sorubim catfish (pintado),311 312 313,yes,Pseudoplatystoma,specific class available,FOODON_03414867,sorubim catfish,,,TACO uses the generic catfish class; the species is assumed from the common name; TACO gives no scientific name
species by Brazilian common name,"Curimbatá, corimba",Curimbatá (Prochilodus),288 289 290,yes,Prochilodus,taxon only,NCBITaxon_27695,Prochilodus lineatus,,,the species is assumed from the common name; TACO gives no scientific name
species by Brazilian common name,Corvina de água doce,Freshwater croaker (Plagioscion),291,yes,Plagioscion,taxon only,NCBITaxon_254544,Plagioscion squamosissimus,,,the species is assumed from the common name; TACO gives no scientific name
species by Brazilian common name,Dourada de água doce,Freshwater dourada,295,yes,Brachyplatystoma,taxon only,NCBITaxon_337631,Brachyplatystoma,,,"probably B. rousseauxii, an Amazon catfish; the recorded lookup identifies a genus; dourado (Salminus) is a different fish; the species is assumed from the common name; TACO gives no scientific name"
species by Brazilian common name,Lambari,Lambari (Astyanax),296 297 298,yes,Astyanax,search not recorded,,,,,the search result for this taxon was not recorded; the species is assumed from the common name; TACO gives no scientific name
species by Brazilian common name,Manjuba,Manjuba (anchovy),299 300,yes,anchovy,generic class only,FOODON_03316282,anchovy,,,the species is assumed from the common name; TACO gives no scientific name
species by Brazilian common name,Camarão Rio Grande,Rio Grande shrimp,284 285,yes,shrimp (raw),generic class only,FOODON_03301837,shrimp (raw),,,unaligned in TACO although shrimp (raw) and shrimp (cooked) exist; the species is assumed from the common name; TACO gives no scientific name
species by Brazilian common name,Pirarucu,Arapaima (pirarucu),,no,Arapaima,specific class available,FOODON_03414870,arapaima,,,not in TACO 4th edition
species by Brazilian common name,Tambaqui,Tambaqui (Colossoma),,no,Colossoma,specific class available,FOODON_03414876,cachama,,,not in TACO 4th edition
species by Brazilian common name,Sururu,Sururu mussel,,no,sururu,generic class only,FOODON_03411223,mussel,,,not in TACO 4th edition; the species is assumed from the common name; TACO gives no scientific name
species by Brazilian common name,Castanha-do-Brasil,Brazil nut,589,yes,brazilnut,specific class used,FOODON_03301821,brazilnut (raw),,,
species by Brazilian common name,Pupunha,Peach palm fruit (pupunha),596,yes,peach palm,specific class used,FOODON_00005166,peach palm pulp (boiled),,,
species by Brazilian common name,Pinhão,Araucaria seed (pinhão),595,yes,Araucaria angustifolia seed,taxon only,FOODON_03414684,araucaria tree,,,the recorded candidate is a plant class; a seed or food class was not identified in this analysis
