food_number,part,stratum,stratum_size,sample_size,inclusion_probability,flag
591,sample,15/relatedMatch,1,1,1.0,
72,sample,2/relatedMatch,21,2,0.0952,
435,sample,6/relatedMatch,23,2,0.087,pork leg related to a sirloin tip roast
517,sample,11/none,2,2,1.0,
216,problem case,,0,0,,"the class says Californian, which the TACO name does not state"
271,sample,4/none,1,1,1.0,
527,prepared dish,,0,0,,
468,problem case,,0,0,,"requeijão typed as cream cheese spread, a different product"
488,sample,9/none,2,2,1.0,unmapped although FoodOn has chicken egg (boiled)
536,prepared dish,,0,0,,
514,sample,11/type,5,2,0.4,
577,sample,14/relatedMatch,2,2,1.0,the class says brown lentil; TACO gives no variety
559,problem case,,0,0,,"EFSA agency class, outside FoodOn's food product classes"
533,prepared dish,,0,0,,
457,sample,7/type,17,2,0.1176,
20,sample,1/none,11,2,0.1818,
490,sample,9/type,5,2,0.4,
543,prepared dish,,0,0,,
521,sample,12/type,4,2,0.5,
534,prepared dish,,0,0,,
528,prepared dish,,0,0,,
160,sample,2/type,59,2,0.0339,
529,prepared dish,,0,0,,
311,problem case,,0,0,,generic catfish; FoodOn has sorubim catfish (Pseudoplatystoma)
416,problem case,,0,0,,fried patty typed as a hamburger dish; the frying is not in the class
126,sample,2/type,59,2,0.0339,
260,sample,4/type,13,2,0.1538,
592,sample,15/none,2,2,1.0,
545,prepared dish,,0,0,,
312,problem case,,0,0,,generic catfish; FoodOn has sorubim catfish (Pseudoplatystoma)
466,sample,7/none,4,2,0.5,unmapped although FoodOn has petite suisse cheese
569,problem case,,0,0,,carioca and rajado beans share the pinto bean class
505,sample,10/none,5,2,0.4,
588,sample,15/type,8,2,0.25,"the class label has no word for salted, which the name has (lexical triage)"
540,prepared dish,,0,0,,
561,sample,14/type,24,2,0.0833,carioca and rajado beans share the pinto bean class
310,sample,5/type,13,2,0.1538,
437,problem case,,0,0,,salted tail typed as raw pork tail; the salting is not in the class
294,sample,5/closeMatch,7,2,0.2857,
461,problem case,,0,0,,typed fresh cheese; FoodOn has minas cheese
511,problem case,,0,0,,"the class says medium ground, which TACO does not state"
515,sample,11/relatedMatch,2,2,1.0,
280,sample,5/relatedMatch,10,2,0.2,
462,sample,7/relatedMatch,3,2,0.6667,related to semihard cheese; FoodOn has minas cheese
347,problem case,,0,0,,beef ribs related to a ribeye roast
551,prepared dish,,0,0,,
548,prepared dish,,0,0,,
450,sample,7/none,4,2,0.5,
