food_number,name_pt,name_en,group,current_relation,current_class,current_label,current_definition,candidates,foodon_release,decision,relation,class,certainty,justification,evidence,reviewer,reviewed_on
591,"Coco, verde, cru","Coconut, green, raw",Nozes e sementes,relatedMatch,FOODON_00005449,coconut water,"The naturally occurring liquid extracted from a young, green coconut.","coconut (FOODON_00003449); coconut palm plant (FOODON_03411536); coconut (grated, in coconut oil) (FOODON_03305686); peach (coconut-flavored, canned) (FOODON_03307018); coconut cheese (FOODON_00003865)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
72,"Abobrinha, italiana, refogada","Zucchini, Italian, sauteed","Verduras, hortaliças e derivados",relatedMatch,FOODON_00004138,zucchini squash (raw),,golden zucchini plant (FOODON_00003014); golden zucchini squash (FOODON_00003015); zucchini squash (FOODON_03310943); zucchini plant (FOODON_03411462); baby zucchini squash (raw) (FOODON_03000098),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
435,"Porco, pernil, assado","Pork, leg (pernil), roasted",Carnes e derivados,relatedMatch,FOODON_02000334,pork sirloin tip roast,A pork roast that is derived from the leg tip.The Sirloin Tip also known as the Knuckle is the muscle group that runs parallel with the (Femur) Leg bone that extends upward from the (Patella) Kneecap to the Ball of the Femur. It is given the name Sirloin Tip because anatomically it is located next to the tip of the Sirloin.,pork leg (FOODON_02000283); pork leg sirloin half (FOODON_02000285); pork leg cap steak (FOODON_02000336); pork leg (raw) (FOODON_02000284); pork leg sirloin half (raw) (FOODON_02000286),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
517,"Sal, grosso","Salt, coarse",Miscelâneas,none,,,,pesto sauce (FOODON_03310218); 01690 - pretzels (efsa foodex2) (FOODON_03540169); 21560 - cured ripened raw sausages (efsa foodex2) (FOODON_03542156); salt (CHEBI_24866); salt or salt substitute (us cfr) (FOODON_03400134),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
216,"Laranja, valência, crua","Orange, valencia, raw",Frutas e derivados,type,FOODON_03309926,california valencia orange (raw),"SIREN DB annotation:
* whole, natural shape FOODON:03430150
* not heat-treated FOODON:03440003
* fruit, peel present, core, pit or seed present FOODON:03420140",california valencia orange (FOODON_00003619); california valencia orange plant (FOODON_03411056); Citrus sinensis (NCBITaxon_2711); orange (PATO_0000953); orange plant (FOODON_03411339),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
271,"Óleo, de pequi","Oil, pequi",Gorduras e óleos,none,,,,"flaxseed oil (FOODON_00001088); tea seed oil (FOODON_00002884); 067  vegetable oils, crude (oc) (ccpr) (FOODON_03400763); 068  vegetable oils, edible (or refined) (or) (ccpr) (FOODON_03400764); oil-roasted (FOODON_03000576)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
527,"Baião de dois, arroz e feijão-de-corda","Baião de dois (rice, cowpeas, fatback and coalho cheese)",Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
468,"Queijo, requeijão, cremoso","Cheese, requeijão, creamy",Leite e derivados,type,FOODON_03315638,cream cheese spread,"SIREN DB annotation:
* semisolid FOODON:03430144
* curd FOODON:03420245
* lactic acid fermentation process FOODON:03460101",cheese (FOODON_03000287); cheese product analog (us cfr) (FOODON_03400128); 39520 - cheese-based canapé (efsa foodex2) (FOODON_03543952); macaroni and cheese (FOODON_00002960); cheese or cheese product (us cfr) (FOODON_03400115),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
488,"Ovo, de galinha, inteiro, cozido/10minutos","Egg, chicken, whole, boiled 10 minutes",Ovos e derivados,none,,,,chicken egg (cooked) (FOODON_00005341); chicken egg (FOODON_03316061); chicken egg white (FOODON_02020155); chicken egg food product (FOODON_00001275); chicken egg yolk (FOODON_02020157),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
536,Dobradinha,"Dobradinha (beef tripe), boiled",Alimentos preparados,relatedMatch,FOODON_03420192,tripe,The stomach of a beef cow.,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
