food_number,name_pt,name_en,status,note
1,"Arroz, integral, cozido","Rice, brown, cooked",draft,
2,"Arroz, integral, cru","Rice, brown, raw",draft,
3,"Arroz, tipo 1, cozido","Rice, white, type 1, cooked",draft,tipo 1 and tipo 2 are Brazilian commercial grades of polished rice
4,"Arroz, tipo 1, cru","Rice, white, type 1, raw",draft,tipo 1 and tipo 2 are Brazilian commercial grades of polished rice
5,"Arroz, tipo 2, cozido","Rice, white, type 2, cooked",draft,tipo 1 and tipo 2 are Brazilian commercial grades of polished rice
6,"Arroz, tipo 2, cru","Rice, white, type 2, raw",draft,tipo 1 and tipo 2 are Brazilian commercial grades of polished rice
7,"Aveia, flocos, crua","Oats, rolled, raw",draft,
8,"Biscoito, doce, maisena","Biscuit, sweet, cornstarch (maisena)",draft,
9,"Biscoito, doce, recheado com chocolate","Biscuit, sweet, chocolate filled",draft,
10,"Biscoito, doce, recheado com morango","Biscuit, sweet, strawberry filled",draft,
11,"Biscoito, doce, wafer, recheado de chocolate","Biscuit, sweet, wafer, chocolate filled",draft,
12,"Biscoito, doce, wafer, recheado de morango","Biscuit, sweet, wafer, strawberry filled",draft,
13,"Biscoito, salgado, cream cracker","Biscuit, savoury, cream cracker",draft,
14,"Bolo, mistura para","Cake, mix",draft,
15,"Bolo, pronto, aipim","Cake, ready to eat, cassava (aipim)",draft,
16,"Bolo, pronto, chocolate","Cake, ready to eat, chocolate",draft,
17,"Bolo, pronto, coco","Cake, ready to eat, coconut",draft,
18,"Bolo, pronto, milho","Cake, ready to eat, corn",draft,
19,"Canjica, branca, crua","Hominy, white (canjica), raw",draft,
20,"Canjica, com leite integral","Canjica (hominy pudding), with whole milk",draft,
21,"Cereais, milho, flocos, com sal","Cereal, corn flakes, with salt",draft,
22,"Cereais, milho, flocos, sem sal","Cereal, corn flakes, without salt",draft,
23,"Cereais, mingau, milho, infantil","Cereal, porridge, corn, for infants",draft,
24,"Cereais, mistura para vitamina, trigo, cevada e aveia","Cereal, mix for milk smoothies (vitamina), wheat, barley and oats",draft,
25,"Cereal matinal, milho","Breakfast cereal, corn",draft,
26,"Cereal matinal, milho, açúcar","Breakfast cereal, corn, sugared",draft,
27,"Creme de arroz, pó","Rice cream, powder",draft,
28,"Creme de milho, pó","Corn cream, powder",draft,
29,"Curau, milho verde","Curau (sweet corn pudding), green corn",draft,
30,"Curau, milho verde, mistura para","Curau (sweet corn pudding), green corn, mix",draft,
31,"Farinha, de arroz, enriquecida","Flour, rice, enriched",draft,
32,"Farinha, de centeio, integral","Flour, rye, wholemeal",draft,
33,"Farinha, de milho, amarela","Flour, corn, yellow",draft,
