# release: http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl
# source: https://raw.githubusercontent.com/FoodOntology/foodon/cd73540243a84bcd511a500d9a497d12d7dc02f6/foodon.owl
# sha256: b897bf64c1b265c422db9ee01e1235c10c0b809e7f02326ef810a52068347edf
class	label
FOODON_00000000	food item specification
FOODON_00000015	cattle bull
FOODON_00000070	lobster tail food product
FOODON_00000071	cutting
FOODON_00000072	mammalian meat (ground)
FOODON_00000073	cereal food fines (byproduct)
FOODON_00000074	tortoise
FOODON_00000075	pea (whole or pieces)
FOODON_00001001	orange juice (liquid)
FOODON_00001002	food product
FOODON_00001003	fermented agave juice
FOODON_00001004	fermenting sugar cane juice
FOODON_00001005	fermenting elaeis palm sap food product
FOODON_00001006	mammalian meat food product
FOODON_00001007	meat sausage food product
FOODON_00001008	liver paste
FOODON_00001009	hot dog
FOODON_00001010	processed meat food product
FOODON_00001011	milk formula food product
FOODON_00001012	milk formula (powdered)
FOODON_00001013	cheese food product
FOODON_00001014	yogurt food product
FOODON_00001015	plant food product
FOODON_00001016	cabbage food product
FOODON_00001017	commercial yogurt
FOODON_00001018	cheese starter culture
FOODON_00001019	wort food product
FOODON_00001020	beer wort food product
FOODON_00001021	acifified beer wort food product
FOODON_00001022	Bleu de Bresse cheese
FOODON_00001023	mammalian milk butter
FOODON_00001024	pickled cabbage food product
FOODON_00001025	camembert cheese food product
FOODON_00001027	cheddar cheese food product
FOODON_00001028	Brie cheese food product
FOODON_00001029	gouda cheese food product
FOODON_00001030	halloumi cheese food product
FOODON_00001031	gorgonzola cheese food product
FOODON_00001032	swiss cheese food product
FOODON_00001033	emmenthal cheese
FOODON_00001034	harzer cheese food product
FOODON_00001035	new zealand cheddar cheese food product
FOODON_00001036	pont ieveque cheese food product
FOODON_00001037	vacherin mont dor cheese food product
FOODON_00001038	pork meat food product
FOODON_00001039	cured meat food product
FOODON_00001040	chicken meat food product
FOODON_00001041	cow food product
FOODON_00001042	bovine milk beverage
FOODON_00001043	ovine milk beverage
FOODON_00001044	caprine milk beverage
FOODON_00001045	ice cream food product
FOODON_00001046	animal seafood product
FOODON_00001048	meshanger cheese food product
FOODON_00001049	pork chop food product
FOODON_00001050	tempeh food product
FOODON_00001051	fermented rice beverage
